ID,RFW_combo,RFQ_combo
201017, ,227
201019, ,198
201020, ,210
201021, ,212
201022, ,237
201023, ,236
201024, ,204
201025, ,191
201026, ,225
201027, ,221
201028, ,228
201031, ,190
201032, ,239
202001, ,224
202002, ,213
202003, ,191
202004, ,215
203006, ,178
203007, ,226
203008, ,163
203009, ,210
203010, ,229
203011, ,182
203012, ,212
203013, ,212
203015, ,194
203016, ,204
203017, ,200
203018, ,221
203028, ,176
204004, ,234
204005, ,232
204007, ,226
204010, ,220
204011, ,215
204012, ,198
204013, ,212
204014, ,259
204017, ,201
205002, ,205
205007, ,200
205010, ,232
205012, ,228
205016, ,230
205017, ,257
205018, ,130
205019, ,190
205020, ,194
205021, ,232
205023, ,148
205027, ,146
205030, ,226
205031, ,228
205032, ,212
205035, ,241
205037, ,188
205038, ,207
205039, ,194
205040, ,207
206004, ,252
206007, ,205
206008, ,203
206009, ,204
206010, ,210
207009, ,182
207010, ,207
207011, ,218
207012, ,214
207013, ,177
207014, ,216
207015, ,221
207016, ,201
207017, ,172
207018, ,212
207019, ,212
207020, ,221
207021, ,210
208013, ,209
208015, ,192
208016, ,203
208017, ,236
208019, ,221
208021, ,215
208022, ,158
208023, ,146
208024, ,146
209007, ,227
209008, ,201
209015, ,173
210007, ,200
210008, ,226
210009, ,217
210010, ,210
210011, ,232
210012, ,219
210019, ,190
210025, ,252
210030, ,202
210031, ,209
210032, ,209
210034, ,205
210035, ,241
210036, ,218
210037, ,193
210040, ,242
210041, ,229
210042, ,204
210043, ,213
210046, ,194
210047, ,184
210048, ,177
211002, ,246
211004, ,236
211006, ,246
211007, ,231
211009, ,195
211010, ,173
211014, ,188
211016, ,240
211017, ,204
211018, ,187
211020, ,215
211021, ,201
211024, ,217
211027, ,199
211028, ,242
211029, ,178
211030, ,224
211032, ,237
211033, ,224
211034, ,183
211035, ,147
211036, ,175
211038, ,190
211039, ,198
211041, ,202
211042, ,225
211044, ,190
211049, ,189
211050, ,184
211051, ,177
211052, ,173
211062, ,191
211063, ,206
211064, ,213
211065, ,199
211066, ,182
211067, ,176
211068, ,178
211069, ,234
211071, ,203
211074, ,181
211075, ,183
212003, ,223
212004, ,165
212005, ,192
212006, ,202
212007, ,174
212008, ,186
212009, ,181
212010, ,167
212011, ,189
212012, ,179
212013, ,199
212014, ,205
212015, ,220
212016, ,199
212017, ,225
212018, ,186
212019, ,187
212020, ,196
212021, ,170
212022, ,126
212023, ,162
212024, ,207
212025, ,197
212026, ,218
212027, ,209
212028, ,180
212029, ,185
213002, ,169
213005, ,211
213008, ,210
213017, ,227
213018, ,222
214009, ,189
214012, ,193
214013, ,232
214014, ,196
214015, ,249
214017, ,213
214018, ,185
214021, ,254
214024, ,240
214028, ,213
214029, ,213
214031, ,222
214032, ,242
214034, ,224
214035, ,176
214040, ,212
214041, ,193
214044, ,209
214051, ,213
214052, ,213
214053, ,206
214056, ,186
214058, ,212
214060, ,234
214067, ,216
214068, ,212
214069, ,214
214072, ,224
214074, ,174
214075, ,169
216004, ,226
216005, ,223
216007, ,242
217015, ,221
217016, ,207
217017, ,223
217019, ,185
217020, ,171
217021, ,186
217022, ,232
218003, ,208
218004, ,199
218005, ,258
218006, ,227
218007, ,228
218008, ,223
218009, ,235
218010, ,217
218011, ,235
218012, ,215
218013, ,205
218014, ,188
219006, ,204
219007, ,178
219008, ,219
220016, ,194
220017, ,191
220018, ,190
220019, ,169
220020, ,160
220021, ,179
221001, ,181
221002, ,175
221003, ,197
221004, ,205
221005, ,168
221006, ,207
221007, ,174
221008, ,151
221009, ,211
221011, ,180
221012, ,201
221013, ,178
221014, ,179
221015, ,178
221016, ,160
221017, ,167
221018, ,165
221019, ,196
222023, ,253
222026, ,218
222028, ,224
223002, ,170
223005, ,201
223006, ,192
223007, ,216
223008, ,145
223009, ,159
223010, ,201
223011, ,217
223012, ,167
223013, ,233
223014, ,230
223015, ,201
223016, ,178
223017, ,172
223018, ,161
223019, ,203
223020, ,145
223021, ,194
223022, ,138
223023, ,201
223024, ,187
223027, ,223
223028, ,228
223029, ,220
223030, ,208
223031, ,182
223032, ,183
223033, ,222
223034, ,175
223036, ,176
223037, ,201
223042, ,205
223047, ,194
223048, ,198
223049, ,171
223051, ,204
223052, ,165
223053, ,197
223054, ,178
223055, ,208
223056, ,203
223057, ,133
223058, ,171
223061, ,173
223062, ,199
223063, ,216
223064, ,217
223065, ,192
223066, ,181
223067, ,187
223068, ,168
223069, ,177
223070, ,171
223071, ,141
223072, ,142
223073, ,173
223074, ,205
223075, ,167
225005, ,234
225006, ,225
225009, ,192
225010, ,231
226012, ,220
226013, ,214
226014, ,196
226015, ,221
226016, ,211
226017, ,200
226018, ,217
226019, ,205
226020, ,176
226021, ,212
226022, ,204
226023, ,197
226024, ,159
226025, ,177
226026, ,180
226027, ,199
226028, ,174
226029, ,229
226030, ,240
226031, ,182
226032, ,256
226033, ,189
226034, ,183
226036, ,214
226037, ,238
226038, ,193
226039, ,180
226040, ,217
226041, ,252
226042, ,226
226043, ,244
226044, ,242
226045, ,200
226046, ,192
226047, ,217
226048, ,188
226049, ,215
226050, ,233
226051, ,239
227004, ,120
227005, ,226
227006, ,231
227007, ,217
227008, ,218
227009, ,210
227010, ,218
227011, ,208
227012, ,170
227013, ,191
227014, ,228
227015, ,179
227016, ,192
227017, ,212
227020, ,155
227021, ,239
227026, ,210
228004, ,203
228006, ,231
228007, ,186
228009, ,195
228010, ,187
231022, ,175
231023, ,201
231024, ,178
231025, ,207
231026, ,260
231027, ,237
231028, ,119
231029, ,207
231030, ,190
231031, ,201
231032, ,221
231033, ,231
231034, ,158
231035, ,206
231036, ,214
231037, ,196
231038, ,176
231039, ,226
231040, ,247
231041, ,220
231042, ,193
231043, ,164
231044, ,250
231045, ,186
231046, ,199
231047, ,227
231048, ,156
231050, ,162
232001, ,180
232002, ,172
232008, ,223
232009, ,179
232010, ,194
232011, ,222
232012, ,232
232013, ,206
232014, ,182
232017, ,215
232018, ,176
232022, ,196
232023, ,193
232024, ,221
232027, ,209
232028, ,218
232029, ,207
232032, ,199
232050, ,212
232051, ,216
232052, ,225
232053, ,182
232058, ,213
232059, ,223
232060, ,219
232063, ,223
232064, ,210
232066, ,202
232067, ,196
232069, ,188
232071, ,193
232072, ,243
232073, ,220
232074, ,214
232075, ,198
234017, ,236
234018, ,200
234019, ,191
234020, ,185
234021, ,226
234038, ,202
234039, ,149
234040, ,201
234041, ,189
234042, ,218
234043, ,200
234044, ,217
234047, ,195
234048, ,260
234049, ,188
234050, ,212
234051, ,222
235001, ,208
235007, ,233
235008, ,220
235009, ,197
235010, ,162
235019, ,227
235020, ,205
235022, ,169
235024, ,200
235026, ,247
235028, ,236
236001,209, 
236003,235, 
236004,252, 
236005,219, 
236006, ,201
236007, ,249
236008, ,231
236009, ,210
236010, ,200
236011, ,221
236012, ,240
236013, ,234
236015, ,202
236016, ,245
236017, ,216
236019, ,216
236022, ,188
236023, ,231
236024, ,182
236025, ,209
236026, ,220
236027, ,201
236029, ,236
236031, ,204
236041, ,240
236043, ,219
236044, ,217
236045,230, 
236047,185, 
236048,232, 
239001, ,211
239005, ,224
239007, ,244
239011, ,195
239012, ,215
239013, ,231
239016, ,209
239017, ,221
239019, ,231
239020, ,206
239021,180, 
239022, ,183
240004, ,210
240005, ,201
240006, ,214
240007, ,214
240008,203, 
240009, ,225
240011, ,180
240013, ,211
240014, ,213
240015, ,229
240016, ,189
240025,162, 
240027, ,214
240028, ,243
240029, ,247
240030, ,215
240031, ,225
240032, ,249
240033, ,168
240034, ,210
240035, ,185
241001, ,220
241003, ,163
241008, ,195
241009, ,188
241010, ,168
241012, ,212
241014, ,215
241015, ,219
241016, ,200
241017, ,229
241020, ,232
241022, ,215
241024, ,178
241028, ,239
243001, ,177
243004, ,194
243005, ,174
243006, ,198
243007, ,167
243008, ,189
243009, ,246
243011, ,208
243012, ,137
243013, ,193
243014, ,169
243017, ,155
243019, ,230
243023, ,252
243024, ,169
243025, ,182
243027, ,238
243029, ,163
243030, ,177
243031, ,183
243032, ,183
243033, ,153
244001,132, 
244002,154, 
244003,164, 
244005,181, 
244006,139, 
244007,121, 
244008, ,179
244009, ,133
244010, ,173
244011, ,154
244012, ,139
244013, ,131
244014, ,124
244015, ,125
244016, ,191
244018, ,177
244019, ,119
244020, ,110
244021, ,110
244022, ,112
244023, ,124
244024, ,155
244025, ,106
244026, ,110
244027, ,108
244028, ,163
244030, ,110
244031, ,109
244032, ,105
244033, ,100
244034, ,158
244035, ,136
244036, ,127
244037, ,117
244038, ,145
244039, ,123
244040, ,145
244041, ,137
244042, ,132
244043, ,134
244044, ,124
244045, ,122
244046, ,142
246001, ,177
246002, ,224
246003, ,223
246004, ,194
246005, ,231
246006, ,202
246007, ,243
246008, ,247
246009, ,248
246010, ,169
246011, ,133
246012,161, 
246013, ,200
246017, ,148
248001,153, 
248004,161, 
248005, ,184
248006, ,210
248007, ,230
248008, ,147
248011, ,135
248012, ,187
248013, ,174
248014, ,185
248016, ,244
248017, ,177
248023, ,230
248024, ,221
248025, ,207
248030, ,163
248031, ,222
248033, ,244
248034, ,215
248035, ,184
248036, ,162
248037, ,186
248039, ,159
248040, ,172
248041, ,204
248042, ,172
248043, ,176
248045, ,155
248046, ,182
248047, ,213
248048, ,139
248049, ,223
248050, ,166
248051, ,209
248053, ,128
249006, ,153
249014, ,214
249015, ,232
249017, ,161
249018, ,212
249019, ,176
249023, ,209
249024, ,162
251001, ,206
251002, ,221
251003, ,187
251004, ,190
251005, ,212
251006, ,224
252001, ,160
252002, ,199
252010, ,184
252019, ,211
253001, ,191
253003, ,205
253004, ,192
253005, ,209
253006, ,195
253009, ,216
253010, ,192
253011, ,181
253012, ,245
253013, ,162
253014, ,190
253015, ,204
253016, ,206
253017,191, 
253018, ,196
253019, ,210
253020, ,239
253021, ,166
253022, ,136
253023, ,189
253024, ,184
253025, ,195
253026, ,225
253027, ,181
253028, ,168
253029, ,191
253030, ,171
253031, ,210
253033, ,166
253034, ,187
253035, ,216
253036, ,190
253037, ,205
253038, ,203
253039,167, 
253040, ,195
253041, ,174
253042, ,196
253043, ,146
253044, ,185
253045, ,203
253046, ,187
253047, ,182
253048, ,205
253049, ,191
253050,178, 
254001,246, 
254002,162, 
254003,217, 
254004,211, 
254005,208, 
254006, ,235
254007, ,213
254008, ,217
254009, ,189
254010, ,234
254011, ,232
254012, ,235
254013, ,222
254014, ,215
254015, ,253
254016, ,158
254017, ,203
254018, ,188
254019, ,200
254020, ,212
254021, ,196
254022, ,155
254023, ,167
254024, ,137
254025, ,189
255001, ,183
255003, ,218
255004, ,213
255005, ,210
255006, ,234
255007, ,224
255008, ,199
255010, ,199
255012, ,221
255013, ,218
255014, ,218
256001, ,220
256002, ,225
256003, ,218
256004, ,175
256005, ,171
256006, ,159
256007, ,170
256008, ,214
256009, ,174
256011, ,205
256012, ,200
256013, ,216
256014, ,217
256015, ,215
256016, ,206
256017, ,246
256018, ,217
256019, ,229
256020, ,239
256021, ,200
256022, ,203
256023, ,216
256024, ,216
256025, ,239
256026, ,239
256027, ,241
256028, ,220
256029, ,196
256030, ,224
256031, ,193
256032, ,205
256033, ,202
256034, ,209
256035, ,211
256036, ,198
256037, ,213
256038, ,188
256039, ,206
256040, ,196
256041, ,201
256042, ,240
256043, ,246
256044, ,235
256045, ,219
256046, ,183
256047, ,231
256048, ,171
256049, ,182
256050, ,180
257023, ,204
257024, ,209
257025, ,180
257032, ,188
258007, ,171
258019, ,185
258032, ,218
258033, ,231
259001, ,210
259002, ,205
259003, ,224
259004,191, 
259005, ,260
259006, ,196
259007, ,231
259008, ,203
259009, ,209
259010,231, 
259011, ,224
259012, ,226
259013, ,231
259014, ,255
259015, ,218
259016, ,188
259017, ,184
259018, ,210
259019, ,204
259020, ,219
259021, ,208
259022, ,212
259024, ,239
259025, ,215
259027, ,204
259028, ,215
259030, ,193
259031, ,188
259032, ,203
259033,223, 
259034, ,207
259036,236, 
259037, ,153
259038, ,130
259039, ,164
259040, ,182
259041, ,179
259042, ,180
259043, ,141
259044, ,178
259046, ,183
259047, ,208
259048, ,164
259049,231, 
259050,163, 
260001, ,216
260002, ,221
260003, ,188
260004, ,229
260005, ,171
260006, ,203
260007,157, 
260009, ,198
260010, ,233
260013, ,177
260014, ,186
260016, ,200
260017, ,229
260018, ,229
261001, ,233
261002, ,232
261004, ,201
261006, ,243
261007, ,154
261008, ,251
261009, ,210
261010, ,206
261011, ,226
261012, ,204
261013, ,193
261014, ,223
261015, ,198
261016, ,148
261017, ,165
261018, ,209
261019, ,204
261020, ,226
261021, ,202
261022, ,176
261023, ,185
261024, ,179
261025, ,181
261026, ,218
261028, ,207
261029, ,208
261030, ,193
261031, ,148
261033, ,155
261035, ,193
261036, ,208
261037, ,162
261039, ,196
261040, ,228
261041, ,206
261042, ,191
261043, ,185
261044, ,177
261045, ,193
261047, ,196
261048, ,204
261049, ,145
262001, ,211
262002, ,260
262003, ,226
262005, ,164
262006, ,199
262007, ,204
262008,181, 
262009, ,174
262010, ,206
262011, ,215
262012, ,252
262013, ,178
262015, ,208
262016, ,139
262017, ,236
262018, ,191
262019, ,194
262020, ,252
262021, ,183
262022, ,205
262023, ,222
262024, ,175
262025, ,194
262035, ,236
262036, ,251
262042, ,195
262045, ,202
262046, ,174
262048, ,152
262052, ,186
262058, ,236
262059, ,203
262062, ,211
262064, ,185
262065, ,228
262066, ,227
262067, ,194
262068, ,171
262069, ,187
262070, ,195
262072, ,229
262073, ,216
262074, ,237
262075, ,235
263001, ,231
263002, ,247
263003, ,200
263004, ,187
263005, ,197
263006, ,194
263007, ,189
264002, ,185
264003, ,204
264004, ,229
264006, ,187
264007, ,198
264008, ,213
264010, ,201
264011, ,201
264012, ,165
264013, ,251
264014, ,218
264017, ,225
264018, ,233
264019, ,203
264020, ,239
264021, ,214
264022, ,207
264023, ,246
264024, ,239
264025, ,210
264026, ,203
264027, ,210
264028, ,205
264030, ,256
264032, ,189
264033, ,180
264034, ,204
264035, ,213
264036, ,213
264037, ,218
264038, ,243
264039, ,193
264040, ,224
264041, ,212
264042, ,234
264045, ,194
264048, ,221
265001, ,178
265002, ,169
265003, ,150
265004, ,195
265005, ,174
265006, ,208
265007, ,202
265008, ,204
265009, ,223
265010, ,217
265011, ,172
265012, ,231
265013, ,237
265014, ,220
265015,201, 
265016, ,164
265017, ,152
265018, ,236
265019,248, 
265020, ,180
265021, ,211
266001, ,208
266002, ,212
266003, ,228
266004,250, 
266005, ,168
266006, ,180
266008, ,175
266009, ,211
266010, ,183
266011, ,191
266012, ,203
266013, ,189
266014, ,203
266015,162, 
266016, ,203
267001, ,210
267002, ,203
267003, ,180
267004, ,185
267005, ,204
267006, ,238
267007, ,223
268007, ,195
268008, ,202
269003, ,194
269004, ,238
269005, ,169
269006, ,213
269007, ,237
269008, ,185
269009, ,195
269010, ,161
271001, ,164
271002, ,205
271003, ,198
271004, ,186
271005, ,193
271006, ,241
271007, ,181
271008, ,208
271009, ,133
271010, ,211
271011, ,254
271015, ,250
301001, ,239
301002, ,238
302009, ,182
302010, ,213
302011, ,199
302012, ,245
302013, ,222
302014, ,160
302015, ,177
302016, ,179
302017, ,167
302019, ,175
302020, ,196
302021, ,173
302022, ,226
302023, ,223
302024, ,182
302025, ,192
302026, ,194
302027, ,174
302028, ,195
302029, ,157
302030, ,192
302031, ,234
302033, ,178
305001, ,247
305002, ,206
305003, ,211
305004, ,197
305006, ,236
305007, ,195
305008, ,169
305009, ,129
305010, ,172
305012, ,218
305013, ,172
305016, ,219
305017, ,161
305018, ,228
305021, ,227
305023, ,242
305024, ,229
305025, ,228
305027, ,204
305028, ,203
305029, ,210
307001, ,197
307002, ,169
307003, ,152
307005, ,168
307006, ,215
307007, ,248
307008, ,248
307009, ,198
307010, ,202
307011, ,190
307012, ,191
307013, ,232
307014, ,208
307015, ,226
307016, ,211
307017, ,199
309001, ,245
309003, ,174
309005, ,179
309006, ,229
309007, ,191
309009, ,207
309010, ,168
309011, ,196
309012, ,207
309013, ,196
309017, ,199
309018, ,206
309019, ,193
309020, ,213
309022, ,255
309023, ,219
309024, ,202
309025, ,200
309027, ,210
309028, ,210
309030, ,218
309031, ,219
309032, ,222
309034, ,198
309037, ,233
309038, ,217
309039, ,202
309040, ,234
309041, ,225
309042, ,224
309044, ,202
309045, ,194
309046, ,230
309047, ,219
309048, ,194
309049, ,202
310001, ,200
310002, ,184
310003, ,177
310004, ,211
310006, ,225
313002, ,141
313004, ,213
313005, ,159
313006, ,201
313008, ,209
313009, ,210
313010, ,162
313011, ,174
313012, ,186
313013, ,177
313014, ,183
313015, ,201
313016, ,211
313017, ,149
313020, ,161
313026, ,196
314003, ,214
314005, ,158
314006, ,201
314011, ,188
314013, ,171
314015, ,203
315007, ,231
316002, ,183
316005, ,214
316006, ,191
316007, ,190
316008, ,183
316010, ,205
316011, ,207
316012, ,209
316013, ,202
316014, ,168
317001, ,217
317002, ,190
317003, ,197
317004, ,170
317006, ,177
317007, ,191
317009, ,221
317010, ,206
317013, ,245
317014, ,243
317015, ,254
318002, ,173
318003, ,219
318004, ,188
318005, ,106
318008, ,192
318009, ,196
318011, ,152
318014, ,202
318016, ,202
318017, ,218
318020, ,158
318029, ,126
319002, ,208
319003, ,196
319004, ,206
319005, ,219
319006, ,132
319007, ,185
319008, ,166
321001, ,200
321002, ,220
321003, ,226
321004, ,198
321005, ,212
321006, ,217
321007, ,243
321008, ,220
321009, ,216
321010, ,222
321011, ,226
321013, ,207
321014, ,213
321015, ,214
323001, ,185
323002, ,135
323004, ,179
323007, ,153
323008, ,204
323009, ,109
323013, ,159
323014, ,199
323015, ,153
323016, ,200
325002, ,164
325003, ,145
325004, ,212
325009, ,151
325010, ,138
325011, ,219
325013, ,209
325014, ,218
325015, ,232
325016, ,186
325018, ,134
326001, ,143
326002, ,137
326003, ,160
326004, ,185
326005, ,158
326008, ,178
326011, ,133
326014, ,131
326015, ,153
326020, ,133
326021, ,145
326028,207, 
326029,129, 
326030,145, 
326031,126, 
327001, ,212
327002, ,174
327005, ,179
327008, ,227
327009, ,163
327010, ,153
327011, ,155
327012, ,176
327014, ,228
327015, ,140
327016, ,202
327017, ,154
327018, ,192
327019, ,170
327020, ,157
327021, ,163
327022, ,123
327023, ,147
327026, ,242
327027, ,196
327028, ,174
327029, ,166
327030, ,187
327031, ,180
327032, ,181
327034, ,237
327035, ,113
327036, ,198
327037, ,173
327039, ,185
327040, ,188
327042, ,201
327043, ,220
327044, ,216
327045, ,190
327046, ,182
327047, ,151
327048, ,222
327049, ,215
327050,163, 
328010, ,167
328011, ,179
328012, ,211
329001, ,152
329002, ,206
329003, ,213
329004, ,231
329006, ,184
329007, ,204
329008, ,187
329014, ,182
329017, ,175
329018, ,198
330001, ,187
330002, ,190
330003, ,226
330004, ,164
330005, ,194
330006, ,179
330007, ,195
330008, ,222
330009, ,221
330010, ,243
330011, ,197
330012, ,207
330013, ,195
330014, ,197
331002,145, 
331003, ,143
331004, ,235
331005, ,233
331007, ,188
331008, ,200
331009, ,202
331011, ,158
331012, ,211
331013, ,185
331014, ,211
331015, ,181
331016, ,203
333008, ,186
333009, ,193
333012, ,220
336001, ,178
336002, ,186
336004, ,145
336005, ,163
336007, ,161
336008, ,169
336010, ,181
336011, ,164
336012, ,205
336013, ,156
336016, ,158
336017, ,201
338001, ,163
338002, ,114
338004, ,120
338009, ,202
338010, ,212
338011, ,202
338012, ,226
338013, ,173
338014, ,186
338015, ,128
339001,190, 
339002, ,201
339003, ,172
339004, ,202
339005, ,223
339007, ,242
339009, ,244
342001, ,221
342002, ,223
342003, ,201
342004, ,125
342005, ,186
342006, ,176
342008, ,209
342009, ,164
342010, ,214
342011, ,207
342012, ,200
342013, ,209
342015, ,171
342017, ,141
342018, ,155
342019, ,123
342022, ,162
342023, ,177
342024, ,191
342027, ,203
342028, ,199
342031, ,186
342033, ,146
342038, ,204
342039, ,217
342040, ,168
342041, ,211
342045, ,229
342047, ,215
342048, ,210
342049, ,199
346002,165, 
346003, ,203
346004, ,201
346005, ,225
346006, ,135
346007, ,131
346008,176, 
346009, ,128
346011, ,213
346012, ,219
346013, ,139
346014, ,173
346015, ,136
348001,179, 
348007,225, 
348008,227, 
348009,232, 
348010,224, 
348011,210, 
348012,216, 
348013,226, 
348014,190, 
348015,221, 
348016,211, 
348017,222, 
348018,223, 
348019,203, 
348020,209, 
349001, ,174
349002, ,140
353002, ,134
353003, ,211
353004, ,202
353005, ,217
353006, ,193
353007, ,221
353008, ,231
353009, ,203
353012, ,231
353013, ,232
353017, ,183
353018, ,178
354001, ,216
354002, ,181
354003, ,183
354004, ,233
354005, ,158
354006, ,226
354007, ,207
354008, ,234
354009, ,218
354010, ,180
354011, ,210
354012, ,170
354014, ,163
354015, ,194
354016, ,196
354017, ,202
354018, ,177
354019, ,192
354020, ,168
354021, ,196
354022, ,164
354023, ,201
354024, ,167
354025, ,221
354026, ,182
354027, ,218
354028, ,185
354029, ,173
354030, ,185
354031, ,180
354032, ,170
354033, ,169
354034, ,188
354035, ,177
354036, ,140
354037, ,192
354038, ,217
354039, ,180
360001, ,195
360002, ,183
360003, ,221
360004, ,185
360005, ,215
360006, ,218
360007, ,185
360008, ,219
360009, ,190
360010, ,161
360011, ,182
360012, ,142
360013, ,179
360014, ,195
360015, ,156
360016, ,140
360017, ,167
360018, ,178
360020, ,203
360021, ,177
360022, ,146
360023, ,175
360024, ,177
360025, ,137
360026, ,204
360027, ,181
360028, ,171
360029, ,208
360030, ,183
360031, ,188
360032, ,193
360033, ,186
360034, ,182
360035,157, 
360036, ,167
360037, ,182
360038, ,217
360039, ,194
360040, ,160
360041,161, 
360042,181, 
360043, ,207
360044, ,159
360045, ,172
360046, ,163
361001, ,200
361002, ,177
361003, ,128
361004, ,173
361005, ,170
361006, ,187
361007, ,149
361009, ,181
361013, ,164
361019, ,179
361020, ,220
361021, ,143
361023, ,185
361025, ,179
361026, ,160
361027, ,137
361028, ,150
362001, ,168
362002, ,183
362003, ,182
362004, ,187
362005, ,180
362006, ,203
362007, ,219
362008, ,186
362009, ,232
362010, ,154
363001,209, 
363002,205, 
363003,167, 
363004,145, 
363005,175, 
363006,168, 
363008,159, 
363009,158, 
401001,238, 
401010,179, 
401011,176, 
401012, ,185
401013,218, 
401014, ,166
401015,175, 
401016,225, 
401017,169, 
401018,239, 
401019,187, 
501001, ,182
501002, ,221
501003, ,220
501004, ,171
501006, ,190
501007, ,230
501008, ,169
501009, ,209
501012, ,206
501013, ,200
501014, ,192
501016, ,240
501018, ,206
501020, ,226
501021, ,178
501022, ,191
501023, ,219
501024, ,161
501027, ,223
501028, ,199
501029, ,193
999001, ,247
